,Season,Rank,Player,Pos,Age,G,MP,PTS,AST,TRB,STL,BLK,FG%,eFG%,FT%,PF,WS,WS/48,First,Pts Won,Pts Max,Share,MVP,raptor_offense,raptor_defense,predator_offense,predator_defense
0,1997,1,Karl Malone,PF,33,82,36.6,27.4,4.5,9.9,1.4,0.6,0.55,0.55,0.755,2.6,16.7,0.268,63,986,1150,0.857,1,1.19193018,1.980755293,2.151796725,1.935148651
1,1997,2,Michael Jordan,SG,33,82,37.9,29.6,4.3,5.9,1.7,0.5,0.486,0.516,0.833,1.9,18.3,0.283,52,957,1150,0.8320000000000001,0,5.804664227,2.129794124,6.074194223,2.162149235
2,1997,3,Grant Hill,SF,24,80,39.3,21.4,7.3,9.0,1.8,0.6,0.496,0.5,0.711,2.3,14.6,0.223,0,376,1150,0.327,0,0.832206946,-0.141842291,0.921159647,-0.770654059
3,1997,4,Tim Hardaway,PG,30,81,38.7,20.3,8.6,3.4,1.9,0.1,0.415,0.489,0.799,2.0,12.9,0.198,0,238,1150,0.207,0,2.858579428,1.506645239,3.203537601,1.83757115
4,1997,5,Glen Rice,SF,29,79,42.6,26.8,2.0,4.0,0.9,0.3,0.477,0.546,0.867,2.4,10.8,0.154,0,134,1150,0.1169999999999999,0,8.253310904,-1.463893434,8.070920792,-0.490035289
5,1997,6,Gary Payton,PG,28,82,39.2,21.8,7.1,4.6,2.4,0.2,0.476,0.517,0.715,2.5,12.9,0.193,0,105,1150,0.091,0,4.656401401,0.7403305,5.300801781,1.04882472
6,1997,7,Hakeem Olajuwon,C,34,78,36.6,23.2,3.0,9.2,1.5,2.2,0.51,0.512,0.787,3.2,9.1,0.154,0,95,1150,0.083,0,3.794267843,3.728192386,4.162429221,3.893282392
7,1997,8,Patrick Ewing,C,34,78,37.0,22.4,2.0,10.7,0.9,2.4,0.488,0.489,0.754,3.2,9.8,0.163,0,57,1150,0.05,0,-0.902473776,3.261488973,-0.695155712,2.331798487
8,1997,9T,Anthony Mason,PF,30,73,43.1,16.2,5.7,11.4,1.0,0.5,0.525,0.525,0.745,2.8,11.4,0.173,0,7,1150,0.006,0,-1.976070656,-2.862331433,-1.49199984,-2.852432188
9,1997,9T,Shaquille O'Neal,C,24,51,38.1,26.2,3.1,12.5,0.9,2.9,0.557,0.557,0.484,3.5,8.0,0.197,0,7,1150,0.006,0,4.193412685,1.835616913,4.688747343,1.738141171
